Day, Daily Budget, Savings, Mandatory Payments, Investing, Unexpected Transactions, Total
1, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
2, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
3, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
4, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
5, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
6, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
7, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
8, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
9, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
10, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
11, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
12, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
13, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
14, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
15, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
16, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
17, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
18, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
19, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
20, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
21, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
22, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
23, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
24, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
25, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
26, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
27, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
28, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
29, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
30, 33.33, 6.67, 13.33, 3.33, 10.00, 33.33
