Day, Daily Budget, Savings, Mandatory Payments, Investing, Unexpected Transactions, Total
1, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
2, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
3, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
4, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
5, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
6, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
7, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
8, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
9, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
10, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
11, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
12, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
13, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
14, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
15, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
16, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
17, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
18, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
19, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
20, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
21, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
22, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
23, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
24, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
25, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
26, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
27, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
28, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
29, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
30, 66.67, 13.33, 26.67, 6.67, 20.00, 66.67
