Day, Daily Budget, Savings, Mandatory Payments, Investing, Unexpected Transactions, Total
1, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
2, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
3, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
4, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
5, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
6, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
7, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
8, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
9, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
10, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
11, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
12, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
13, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
14, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
15, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
16, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
17, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
18, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
19, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
20, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
21, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
22, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
23, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
24, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
25, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
26, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
27, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
28, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
29, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
30, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
31, 64.52, 12.90, 25.81, 6.45, 19.35, 64.52
